text,stars,date,useful
"Five stars for the Iced Espresso Bianco!!!  I am not an iced coffee fan, whatsoever, but this was amazing.  We were at the Venetian for date night - dinner and a show, so got here early to walk around.  We stopped in here to get a drink and I took a chance on this drink.  I did get the caramel flavor, but it was not to flavored, which I was happy about.  Not sure how they layered it, but the frothed milk was on top and it mixed it on its own and/or with stirring - so flavorful.  This drink really kept the coffee flavor without getting diluted by the ice or caramel.  I wish I had one later today!",5,2012-05-28 15:12:52,0
"Being an avid Hookah smoker with a pipe of my own I probably have a little more knowledge about Shisha and the procedures than I need, with that being known this place doesn't clean the pipes after each use and as stated with another review it really doesn't matter a whole lot what flavor you are interested in, double apple is what you will eventually end up tasting.  They use standard bowls to hold the shisha and you get 2 pieces of quick light charcoal.  Being a place that needs to get the customers satisfied, I understand why they use QL's but it will never beat the flavor and duration of a natural wood coal or even compressed coconut shell for burning. I could spend hours discussing their pitfalls and accolades in terms of only their Hookah side of the business but it would most likely just end up sounding drab. So I'll sum it up quick, if you've never smoked a hookah before and want a fairly decent experience, this place will give you a 65-75% good first smoke. If you are someone who is an avid smoker or owns your own pipe, what are you doing out paying for it elsewhere for? You know how it's done, do it up right.   Moving to their food and drink selections. My fiancee and I have tried most of their Juices and found them to be on the whole quite good. Their Oasis Cocktail has some kind of cream that we have yet to identify and I order without most of the time due to the particularly odd flavor it leaves lingering on the tongue.  My fiancee is partial to their strawberry and the banana-honey drinks and orders 2-3 of them at a time if we're there for a long visit.  The hummus was flavored pretty well, and when we ordered a shish-kabob it came out cooked right.  My last visit there I had Shawarma and it was good. Pretty solid foods, drinks, desserts, and hookah. Laid back atmosphere, heaters outside when it gets too cold.  The only thing that could use a smidge improvement is the serving girls are a tad hard to find and you can potentially go 30-45 minutes without seeing one anywhere. Give this place a shot if you're near the area.",4,2009-10-13 12:57:28,1
"Excellent service quality.. I bought my car here and this is my car's first oil change service. They are very professional. I definitely recommend this place.  Since I bought my car here, they did everything free for first time. I checked the receipt and the prices are decent when compared to other auto service centres.",5,2015-10-07 21:10:52,0
"One of my coworkers mentioned this little spot he heard about not too far from work. So today for lunch a few of us decided to check it out. My personal favorite places are hole in the wall joints so walking into this restaurant definitely provided that vibe. Miss Dee, the owner I believe, was one of the nicest owners I have met at a restaurant. She immediately came out of the kitchen and personally greeted us with amazing hospitality. She gave us the low down of her spot answering any questions about the food we had. Now onto the meat and potatoes, literally! Three of us got a large loaded potato, each topped with different meats. One had the beef brisket, the other had pulled pork, and I got the buffalo chicken. Don't expect your food to come out in a minute like it was just microwaved. Everything was freshly put together and it was beyond worth it! Each meat was cooked to perfection with amazing flavors throughout the potato. Combine that with melted cheese, sour cream, and other delicious toppings, this potato can't be beat!  Will definitely be a return customer to try out other various customizations on my loaded potato!",5,2015-10-07 21:02:02,2
"I did not visit the Kent office, but the office of Dr. Brown in Fairlawn. She was lacking in compassion, clarity, kindness, and professional ethics. She judged me based on my  pharmacutical history, and did not even glance at the stack of medical records I brought with me. I have been treated by some of the best in the country at John Hopkins and Walter Reed, and to be treated so unprofessionally in this office was an insult to the profession. Do NOT waste your time with Dr. Brown!",1,2011-10-27 16:28:32,1
Just fulfilled a bucket list item and got my nose pierced!! This shop is beautiful!! So clean!! The staff is super friendly. I was nervous but the piercer calmed me down with his sense of humor. Great place!!! It's so nice to have a quality shop on the Westside.,5,2015-12-05 02:35:17,0
"Went to Vegas again Memorial Day Weekend but this time with my girlfriends so wanted them to try this place since LOVED it so much when I came with hubby.  This time tried the Angry Dog and just as amazingly deelish!!!  Friends got Chili (homemade by Buldogis) Dog, Bulgogi Bowl, Fries, and again the Euro Fries with kimchee added and they LOVED it too!   My 2 friends who had the Chili Dog said the chili was very good! One of them is not even a hotdog fan and loved it :)  IF you are EVER in Vegas THIS is a MUST!!!",5,2012-05-28 22:06:05,3
"This review is difficult to write because it is so mixed.  The floral department is one of the best.  Greg in the meat department is extremely helpful, the management there is horrible.  The store certainly does not represent what Safeway should stand for.  I live in Goodyear part of the year and in San Ramon, California part of the year, they have a state-of-the-art store in San Ramon, one which would rival any speciality grocery store, so I know they can do it, the one in Goodyear is just horrible by conparison.  Often the food is even old.  The people are generally nice, but the management of Safeway needs to do a major update here and fix this store.",2,2010-08-20 21:55:50,1
"So the food is pretty good but overpriced. The thing that irks me is there was basically no alcohol in the Caesars I ordered. I am small, I had two, and I wasn't even tipsy. No taste of alcohol, no feel of it. Super lame. Also, no happy hour.",3,2016-03-17 15:56:26,0
"Fresh and quality sashimi and great lunch time prices.  I tried it for lunch once and I am a fan, there are few quality Japanese restaurants in the city but this is amazing (even though it's Korean owned) and great value for the money.  Great decor and swift service.",5,2012-07-16 02:19:30,0
"This place is quite possibly my favorite restaurant in Phoenix.   My favorites are the Chicken Scarpariello, the pizza and the Sangria. My wife can't decide between four dishes. Our daughter loves the Penne ala Vodka, Lasagna, or Ravioli.  Mario and his sons work hard to please and we've never had a bad meal here. I've seen them bend over backwards to try and take care of obvious jerks.   Plus to top it off, when local school invited local pizza places to present to a class on making pizza and recycling issues, Mario came and talked to the kids as if they were adults. All the other places treated it as a marketing event and brought coupons.   Get the idea? It's all good at this neighborhood gem!",5,2011-01-09 00:07:16,2
"So Mary and her husband came out and assembled a few pieces. Some large, some small. All in all they did a very good job and were polite. I think that we extended the same courtesy. We actually asked them to come back and do another small job. We needed fixtures attached to all our cabinets and drawers. Mary quoted me a price, which I accepted and we agreed on a date. On the day they were suppose to come out, about an hour before our scheduled time, Mary texted and told me her husband had a flat tire and that they'd be late. I told her, no problem. I was ok. Then......SILENCE. Never heard back from her again. I texted a few more times to reschedule, I asked her if everything was alright, I even asked if they were OK? I know Mary got my messages because I had gotten read receipts. She just completely ignored me. It was all very strange. So, for the work they did I'd rate them a four but for the appointment cancellation and non responsiveness Id give them  a zero if I could. Stephen W. said "" They're real pros"" I beg to differ. Professionals who own and run their business should always respond to it's customers.",1,2017-01-27 18:49:11,2
"I've been to many of the Day Clubs in Vegas. Hands down, Encore Beach Club aka EBC is one of the best day clubs you can go to. One of the MAIN reasons why this is one of the best is that they actually have Gaming Tables. Most Day Clubs don't (actually, I don't think any other day clubs have gaming tables, with the exception of XS but that is a nightclub). So if you're a gambler like me, you're gonna want to go here. Also, If you're going to book a table, I recommend booking the Lilypads. Why? Its on the water so you can chill on your Lilypad and hang out in the water. Best of both worlds in my opinion! You can't order food from your Lilypad but you can order food from the grill and BRING it to your lilypad. So you're good! If you're going to book any tables at EBC, make sure you go through a reputable promoter. I HIGHLY recommend booking with the EBC VIP host Brian Pfeiffer (773) 459-8133 - His cell phone. Just text him! He is AMAZZZINNNGG. He will walk you in, he will make sure you're all good and he will answer all your questions. Just went to Vegas this past weekend and had a blast.",5,2017-06-27 23:52:19,4
"The Four Stars = to  how expensive this place is.  I only saw two dollar signs for this place, but it should be four dollar signs.  I don't remember what I ordered but it all came to $75.00 ( 2 ) bacon egg sandwiches  ( 2 ) other breakfast sandwiches ( 2 ) breakfast desserts ( 2 ) juices or water I'm pretty sure this was all I ordered.  It tasted good because at 2:30am we were all hungry.  I ordered to go since the place was packed from all the clubbers and hotel guests that was here.  I remember that I didn't have to wait very long after placing my order.  I remember that we all scarfed it down in matter of a minute.  I vaguely remember crawling into bed soon after.",4,2016-08-25 09:56:27,1
"So....they changed their prices. One star because the girl at the counter was sweet. I used to get the grilled chicken pasta for 9.00 and now it's 15.00! I can't afford to go back. I think loyalty supercedes trying to make an extra buck. Be loyal to your customers and they will return. I would have been sympathetic to a dollar more, but that's too high a jump. The pasta is good, but not Olive Garden in California  great. I'll never understand why food tastes better in Cali.",1,2016-05-07 02:24:45,0
I've received great service and highly recommend Stone Law. I've been a client for many years and can attest they do great work!,5,2017-10-02 01:55:33,1
"The only reason they're getting 3 stars is for the food ...which is GREAT. Unfortunately, Nothing beats quality service.  I visited this establishment at least 3 times a week during my lunch for the convenience and good food, but was always met with such disrespectful tones and demeanor from the wait staff. I have been going here for a while so I will say not all of the employees are bad, but too bad the only pleasant worker is on the grill !! If you're looking for some great hibachi, definitely give this place a try ...just make sure you drop your money, grab your food, and run! I, however, have given them enough my money and will not be returning. I like to get the entire quality experience- food AND service !",3,2017-07-28 18:08:56,0
"I've never had a bad experience here.  delivery, pickup, whatever, the food always turns out good, for me.  Yesterday they were my saving grace, when Papa John's let me down SEVERELY.  Pizza Hut quoted me an hour-ish wait time (which is fine when I know about it, not when i'm promised 30-40 minutes and it ends up being over an hour like PJ's was)...and they were there at my house with my piping hot, delicous pizza in about 25 minutes.  LOVE.",4,2013-11-14 01:01:56,0
I wanted to David Carradine with the lobster spaghetti.,5,2014-01-17 05:47:02,3
Love this place. Good vibe. Friendly staff. Great music. $5.50 pints.  Will definitely come back!,4,2009-10-13 15:21:27,2
I've been a happy client for several years! Ashlee takes time and ultimate care to do an outstanding job every time. I receive tons of compliments on my lashes and how natural they look. Ashley is a true lash artist. I'm 100% satisfied every time!,5,2015-08-06 21:34:19,0
"Oooh momma! The flavor is strong with this one. Clean, fast, friendly everytime. But not weird and sterile like Baja Fresh. Glad they're open again!",5,2015-10-07 20:52:28,0
"One of the crappier Marriotts I've ever stayed at. The staff is nice and professional enough. But the fact that it's right by the frontage road along I-17, you tend to attract a seedier crowd. Also, with three floors worth of rooms here, guess how many washer/dryer they have for everyone? ONE crappy washer and ONE crappy dryer! Don't even think about washing your clothes on a Friday night. For a two hour period, I went to see if the washer was finally available, each time I was met with yet another load of dirty clothes inside. If they can't afford to get more machines, consider installing one of those number ticket dispensers! Just a thought. Maybe I would have a better shot of washing my clothes. I also considered sitting on top of the washer until the load was done, but that would be kind of creepy on my part. I will be packing all my dirty clothes with me and never come back here again.",1,2017-05-13 06:29:26,0
Awesome smoke shop! Can't say any bad things about this place. The son and dad are really nice and provide great customer service. I always come here for my hookah flavor and coal and will continue to do so!,5,2014-09-25 08:15:26,3
"The tonkatsu ramen with black garlic oil, nori, and extra tamago is amazing. Definitely add the black garlic oil, it's a must! Everything here is prepared fresh and from scratch. It's definitely worth coming back to. Customer service is excellent and we truly loved our experience. The chefs are super helpful and they really care about their customers. It's a simple place with a small menu but their ramen is delicious. The noodles are freshly made as well as their pork. The soft boiled egg is perfectly made and isn't overly seasoned. I would recommend coming here.",5,2017-12-02 18:07:39,1
I normally stop here for breakfast when travelling through calgary international airport. It is one of the few restaurants available once you pass security. Fare is ok for a decent breakfast and good coffee.  15 dollars for breakfast,3,2014-02-05 19:00:13,0
"I love this place and have been using it for three years now but I have to knock it down by one star because at times, not often, but it happens, we'll get our normal stuff and it will be nothing like we're used to getting from them.  Usually they are excellent, however, a couple of times now it has also been greasy, tasteless and overcooked to a point where someone should really have noticed it on sight before it ever left the kitchen.  It's disappointing when that happens, then wish you didn't bother.",3,2016-02-12 01:42:26,1
"Not going into great detail. But I brought my car in for a problem I knew it had. They inspected the car and gave me an astronomically high quote on repair. The staff was very nice and place was clean and neat. I simply could not afford the price they gave. After continuing to research the repair needed and shopping around for quotes I know for a fact that these guys quoted double the going rate and what I ended up paying.   Anywho, there are a ton of great shops out there. And I'm sure these guys are good too. But I can't justify paying double.",2,2016-07-25 05:51:38,3
"Adult grilled cheese?  Novel concept.  The food was good (not great).  The wait was long - prepare for a long wait, this place is always packed!  The bread is quite greasy, but the innards were excellent, along with gigantic portions.",4,2013-08-03 15:21:45,0
"This show was fun, but i was expecting more from all the hype it gets. We picked this over Chippendales cuz the idea of Australian men with their accents is so much hotter than American dancers =P. When I called in to purchase tickets an hour before the show, they said that they didn't have a table to fit 5 girls, and that we would have to separate into two tables, which was fine. But when we got there, there was 2 completely empty tables in the front of the stage! The sales people were really unorganized to not notice that was available! So we ditched our booth and went straight to the front table, which gave a much better view.  The show was def entertaining, with finely sculpted men ripping off their shirts and dressing up in firemen/spartan outfits ;) The occasional view of g-strings was not as welcome, something about a man in a g-string is just wrong, you know? but nonetheless, it was very entertaining. The emcee's accent was hot, and so was his bod. i think i found him the most attractive out of all the guys. They pulled a lot of the bachelorettes and birthday girls onstage to participate, and some of the older women too, which i thought was cool. They also ran around through the audience as well, so no matter where your seats were, I think you'd be able to get up close with one of the guys.  Downside though, at the end of the show, you are welcome to go to the front of the stage and pay $20 PER PERSON to take a pic with the guys, only to receive one picture. no offense, but that is a total rip off. i've been to Fantasy, which is a female stripshow,  and you can take pics with them for free, and they had much better attitudes and were a lot friendlier to talk to after the show. They were annoyed that we had stood in like and decided against taking the picture after the show, and even more annoyed when a girl behind us asked if they took credit card. wtf? These men seemed way too jaded and full of themselves. They may be good to look at, but off-stage they're total jerks.  Was this a good show? It was ok, it was entertaining and interactive, which i thought was nice. would i go again though? probably not. Next time, i'm trying chippendales. maybe their attitudes will be better.",3,2009-08-03 18:37:10,5
"There's a lot to like about Crepe Bar.  It feels ""cool"" inside, with an independent vibe that's a valuable commodity in suburban Phoenix.  It's bustling and noisy inside, which I enjoy but may be a negative to some.  The crepes are reasonably priced, and they come with a salad and an unexpected appetizer portion of granola.  The crepes were good but not excellent, and the portions were a little smaller than expected.  Unfortunately, during peak times, you can expect a difficult time finding a seat, and a long wait for your food.  Also, the options for non-pork eaters such as myself were limited.  This place is ideal for killing time sipping coffee on a weekend, but not for much else.",3,2015-08-06 21:04:35,0
"Egg-celent! Was so delicious and would definitely recommend it. I gave only 4 stars because I wish they had more options on their menu. I didn't want bread and opted for the salad at no additional cost. Although the salad was good, I'm not too sure about arugula with scrambled eggs and a slice of cheddar cheese.",4,2017-02-09 03:52:10,0
"Not the best pizza, but not the worst, and it's only $7. I've only had the pepperoni, but they have plenty of variety. The guy behind the counter was super friendly. Remember- cash only!",3,2011-01-08 22:09:38,2
"We went here for the 1st time this evening and really enjoyed it - great ambiance, delicious food with amazing flavors, and good service. We really liked the fresh roll, spring rolls, dumplings, wild curry (good spice!), and basil chicken. They served healthy portions. Cash only & BYOB. We will definitely return!",5,2016-01-30 01:55:00,0
Amazing!!! Clean and pretty! Best service I've been in Las Vegas! Everyone are so nice! And all the design are perfect,5,2016-09-30 20:16:16,0
"One of my favorite places to eat in town. They have the best bean dip I've ever had. The owner is so kind, and I highly recommend a margarita on the rocks and chicken tacos.",5,2015-08-19 05:42:19,0
"Honestly, you can't go wrong. The quality is consistent across all the chains and reliable to whatever you may be used to.  I do have one tip to customers. I made an online order with the steak meat on the side. NEVER ORDER THE MEAT ON THE SIDE.  I'm pregnant so I can't have raw meat, but I love chipotle. I didn't want to be a pain so I figured I'd just order it on the side and cook it to well done at home.  I only got a TINY little plastic tub of meat...I asked the lady at the register,""this is the meat on the side??"" She almost looked ashamed and said,""uhh, yea..""  *there's a photo reference.  Needless to say, I'm sure once I can eat undercooked meat again I'm sure I'll be back. Just sorta sucked because you pay so much for their food, you'd think they'd have larger containers nearby. Plus I know this is a special request.  Oh well...lesson learned.",3,2015-03-04 20:05:34,0
"I have dined here Teppan twice, a la carte twice. The teppan is very well priced and great food but the chef's are tired. Understandable. There is not the same type of showmanship you can get elsewhere but they are good chefs. A la carte sushi is great. Pot of soup is huge and delicious. This is a local place that does well. Service was on point and very attentive last time I came here.",4,2014-02-05 19:55:22,0
"Being a repeat customer, I can honestly say that the service and the communication between parties has not changed! Excellent as usual and is never a hassle. People will definitely have a smooth transaction over here.   Shout out to Mark who helped me out (again). Always a pleasure to be served with ease. He explained everything accurately. This is my definite spot when it comes to car service!",5,2017-03-03 19:00:25,0
"Only my second maybe third time in life in Outback. I came late because that's how I roll. I really don't enjoy a crowd.  Headed straight for the bar which was pleasantly open. Kayla was my bartender, made me a flavored ice tea because I didn't want water or regular unsweetened ice tea. Cheers to that and then she made the the huckleberry moonshine cocktail, only 140 calories. My meal was a 11oz center cut steak, sweet potato and brocoli and cheese. All the food was deliciously seasoned. I'll be back",5,2017-08-16 04:59:52,0
Had a 30 minute wait.. But played foosball (sow) to pass the time!   The brisket nacho were really good!   The bacon Mac-n-cheese burger was good but not great!  The Motley Cue sandwich was rally good. Lots of mean.. Could probably split between 2 people  The wings.. Cutest presentation.   Staff was eh.. I mean the place is busy. No time to be too friendly to all the damn tourist. Can't say that I blame them.   Neat experience. Def worth a trip..   Next time will def try the desert.. This time we were too full!,3,2015-08-19 04:03:25,1
"My first time tonight - pretty good food. Service lacked BUT Heather saved the night by stepping in and up.   Parm Fries yum. Green Chili Pork - meat needed seasoning but put with the tortilla, squeeze of lime and pico made it tastier. Will be back to try some of the other menu items.",3,2013-10-24 06:18:56,0
"This is my new favorite restaurant in Surprise, which isn't very hard to do because surprise is full of nasty chain restaurants. However, if you want to eat some darn good vietnamese food, this is the place. The pho of any type is amazing, even to go. Also try the spring rolls. Make sure you wrap them in the lettuce with a bit of mint, the texture is bomb fool! It gets a little crowded around 6pm because all of Sun City eats dinner around that time. So show up around 7pm and you'll be fine.",5,2012-06-26 05:15:48,1
"I'm not sure how I rate this restaurant because I walked in to get some soup. It was around 4pm and I was in destroyed need of something that would clear my sinuses. Hot and sour soap always does the trick. I was told that I couldn't order a cup because it was supper time. That's okay, so I ordered a bowl of soup to take home... it was 11.00, and that okay too. My only thing is that it looked like a cup and the soup was not too fresh. It was good though. I'm not too sure if I would go back because the prices seemed too high and for a bowl of soup being 11.00, it wasn't great and there was much, but broth.",3,2017-02-09 05:15:25,0
Place took forever... Come to find out that they didn't have my oil filter and a hour and a half into me waiting the Napa parts guy pulls up and 10 mins later it was done... Hmmm.. But they didn't even let me know what was going on! Never going back,1,2015-10-07 22:45:03,0
"OK, this buffet is pricey.  Something in the neighborhood of $48 i think, but if you go to the Tix4Tonight or similar vendors you can buy a voucher for $2 that gets you into the buffet for $33 and change, so a total of $35... a $10 savings. A bottle of OK wine is 12 bucks and this becomes a really fun evening. Some complain that the food isn't prepared like some 5 star restaurant, but guess what... This isn't a 5 star restaurant... it's a decent buffet where you can try a little or a lot of everything. It's just fun, and a lot cheaper than those fancy chef name places in the hotels. Oysters,  crab, all kinds of fish and shellfish and lobsters. They have all of this and lots of veges and other dishes. I really like the dessert selection but admittedly,  when I am full of wine, crab, scallops and oysters the deserts start looking less attractive. Food critics, say what you like... the restaurant that fills up nightly for years and years is doing something that real people like! Don't forget to hit the half price ticket place for your discount vouchers before you go!",5,2015-10-23 13:02:48,1
Stopped here for lunch after our dam tour based on yelp reviews. We were starving and this place hit the spot. Do yourself a favor and get the cheese sticks!  YUM!  Girlfriends had the bacon burger and said it was top notch. I had the BBQ chicken salad and it was also very good. Service was good too. All in all 6 thumbs up from the 3 of us!,5,2015-07-03 19:02:40,0
